1447.765188,1838.707836,2267.138133,2877.298247,4067.346596,2288.971811,2621.378738,3194.627427,4122.182917,4099.336056,4950.172512,5142.696936,2943.403011,4530.53267,3074.468604
1439.046474,1814.701862,2243.718899,2840.536063,4001.970255,2271.387108,2594.565815,3174.169808,4064.949778,4048.199959,4895.578837,5041.336285,2919.767988,4500.948051,3052.72217
1428.514027,1794.615875,2219.763417,2815.353878,3920.024876,2252.608624,2573.563739,3145.645273,3991.942745,3987.403477,4844.825742,4930.925157,2891.617012,4449.18639,3024.646881
1429.548377,1779.649404,2195.549655,2776.956778,3839.08711,2232.530772,2546.521167,3120.873868,3909.149627,3944.670436,4787.924677,4838.659956,2863.203066,4365.82073,2993.410309
1420.604843,1763.199084,2169.406203,2741.570201,3718.994422,2211.197454,2519.244819,3092.803701,3820.373617,3899.396859,4724.858084,4664.423279,2830.275981,4297.752292,2960.01504
1402.400046,1748.267527,2140.741122,2712.142763,3596.909008,2188.229624,2492.294635,3053.749593,3724.255022,3828.31881,4638.451194,4460.545969,2796.483452,4196.870938,2920.726023
1402.904209,1727.394249,2111.474083,2669.983677,3460.139652,2167.249024,2462.079954,3009.847697,3611.892426,3747.10214,4538.972101,4311.304329,2748.563017,4085.81677,2886.358841
1394.384073,1703.620912,2077.007297,2622.211128,3310.418536,2151.919745,2423.78648,2963.277601,3481.609049,3635.343301,4434.213049,4130.212663,2695.193429,3959.279401,2835.847441
1386.703329,1676.181776,2037.348654,2578.073457,3157.732768,2135.596964,2377.342797,2910.442996,3348.766456,3519.312949,4315.658093,3947.495274,2642.590004,3804.909372,2779.85595
1372.988079,1646.913306,1990.412285,2547.408999,2995.384435,2104.728383,2329.621435,2845.925997,3194.777788,3379.544438,4203.777965,3747.031792,2575.914612,3644.474693,2715.172391
1336.630378,1612.197959,1939.419866,2464.142837,2826.58689,2065.050407,2279.961719,2769.394183,3047.668565,3209.345352,4009.797578,3538.949932,2489.478277,3450.697711,2647.788448
1313.002679,1571.581642,1873.764494,2386.364106,2668.201084,2007.612721,2226.321431,2686.033715,2892.669876,3034.147638,3797.77139,3327.168559,2389.92031,3258.192972,2570.672257
1280.448577,1523.839197,1802.485911,2298.115747,2507.464158,1947.779136,2160.320173,2589.648106,2732.046352,2894.818741,3576.657204,3115.977848,2280.650656,3032.705614,2484.18708
1249.322033,1474.322037,1731.976614,2209.358644,2355.47781,1880.180533,2079.762031,2490.056441,2575.799794,2727.709222,3342.940158,2914.698742,2160.952499,2804.749323,2379.465887
1226.278691,1419.753346,1646.621481,2119.340279,2199.135031,1817.649462,1991.732083,2375.792964,2424.452359,2524.74905,3103.484546,2704.40938,2019.93617,2576.680445,2268.453659
1190.999453,1360.218771,1560.664719,2019.290706,2056.821251,1735.650064,1900.44778,2257.081893,2274.301122,2318.477791,2861.911818,2509.122446,1880.916211,2359.196932,2150.844181
1151.78189,1302.99551,1476.632884,1923.88058,1926.263436,1642.209591,1803.809546,2135.295954,2130.844006,2131.585439,2628.033312,2324.09953,1748.379131,2169.86712,2033.520185
1098.469861,1243.99141,1390.498974,1821.616209,1808.396835,1554.372586,1702.984734,2004.738266,1995.22032,1964.572019,2407.644437,2149.823346,1627.233289,2000.557446,1916.955159
1066.736582,1187.992088,1325.234383,1724.866883,1703.473498,1475.197897,1611.989084,1882.414691,1872.506831,1812.03006,2203.12555,1996.5768,1513.635019,1845.439408,1803.455572
1037.733313,1132.505043,1307.97061,1632.697222,1610.442834,1393.123466,1516.893132,1762.509948,1761.556987,1672.633652,2020.345482,1853.868673,1411.066144,1715.063841,1697.505327
1009.046263,1084.62905,1232.112535,1541.884423,1531.892205,1318.156097,1433.240665,1649.722749,1671.198956,1546.42297,1855.816951,1728.582355,1317.485947,1605.192464,1597.389805
978.9646572,1042.35051,1177.765802,1463.453939,1463.973402,1247.12384,1358.94495,1550.721008,1584.590771,1441.975265,1704.801002,1626.65557,1239.019525,1510.650536,1506.188205
947.8730965,1002.039205,1135.14384,1386.703444,1405.801013,1185.799065,1290.336876,1459.611,1510.939663,1340.776211,1576.154571,1535.786734,1159.316221,1429.667451,1427.250247
928.9692702,969.0350198,1099.670771,1320.853399,1354.175444,1128.51553,1230.987585,1381.363411,1446.149913,1260.658214,1466.27518,1459.564632,1101.343341,1357.617798,1355.803144
904.5683407,936.5302931,1069.007353,1260.993775,1309.478436,1081.348138,1179.007403,1312.966207,1393.525655,1195.878477,1369.113533,1394.948662,1051.054516,1299.25472,1292.427193
879.8301177,912.2658827,1045.193783,1208.268231,1284.885046,1048.206982,1134.441334,1255.516752,1348.114568,1139.629158,1286.845735,1339.143066,998.953098,1250.063644,1237.445718
875.4888783,895.7786562,1021.557613,1164.689655,1243.004396,1015.602779,1094.91376,1213.963221,1306.304672,1092.168671,1218.399857,1291.551385,965.7611304,1208.84427,1191.636487
862.5226084,878.3588958,1000.999047,1122.968287,1211.442149,993.8317091,1064.510201,1158.021924,1271.243105,1053.820739,1158.52881,1250.514752,940.5864267,1174.855586,1150.865722
849.6590851,865.4294561,981.7641559,1090.643113,1187.027989,969.601005,1036.915054,1121.872735,1240.672179,1020.35386,1109.255996,1216.38662,914.0047896,1146.194351,1116.994776
834.7928345,854.13157,966.2139466,1060.773765,1167.118568,944.3579802,1015.65303,1089.972921,1213.361746,991.0594722,1066.341814,1189.877213,894.1043812,1118.488292,1088.763979
